start	end	text
0	11200	We're going to go ahead and restart this just once more and we'll go ahead and yeah, awesome.
11200	13280	We'll go ahead and get started building with the Xanoagent.
13280	17020	But before we do that, Kelly, I do want to show the audience what we've already built
17020	20360	with the Xanoagent and we'll see some groups, we'll see some tables.
20360	23900	And if we click in the group here, our medical group, we'll see credit points
23900	26980	for our medical records, our patients, as well as our users.
26980	31020	And if we go to our tables, we'll see our medical record, patient, and user table.
31460	36220	So all of this already having been created through this Xanoagent, this big purple button
36220	39100	in the top left, I'll go ahead and click it and we can see the prompt I passed in.
39500	41460	Build me the basis of a HIPAA application.
41700	44420	So very bare bones, very basic.
44580	48060	But just prior to this, I'd created what we had just seen.
48620	51260	And now we're going to go ahead and pass in this prompt.
51380	54660	And I'm passing it in with the Xano and Google Gemini agent.
54900	58300	So if you want to go ahead and get started for free, just like me, go ahead,
58420	60020	head to Xano and start building.
60380	64500	And what we're seeing right off the bat is it's going to start searching the files.
64820	67020	It's going to start reading through our workspace.
67020	71380	It's also going to be making sure that according to the docs, it is building
71420	73540	the appropriate and correct syntax.
74580	79980	So unlike say the siloed nature of what we had previously with our, our agents,
79980	83900	or I should say assistants, our database assistant, our logic assistant.
84140	88900	Now we have a fully comprehensive agent that builds everything from your
88900	92980	APIs to your databases, to your middleware and more, because it understands
92980	94700	the entire workspace context.
95500	100340	Now, another very cool part about this is that it keeps the human in the loop.
100700	103180	So what we're seeing is this RBAC implementation plan.
103700	107380	We'll use the middleware attribute directly on the query block if valid.
107500	110900	And it gives us these options, uh, attach middleware to the API group level.
110900	114980	So it applies to all endpoints in a group, um, or use middleware dot
114980	117140	run inside the end point stack if valid.
117140	119300	So it's giving us just a couple of different options.
119340	123020	We'll stick with this and we'll go ahead and approve and then submit.
123460	126980	So again, keeping the human in the loop, making sure that we're aware of the
126980	128460	plan before it starts building.
129220	133220	Um, but another thing that I really, really just actually love about what
133260	136900	we've done here at Xano within this platform is we've brought the IDE
136900	138660	experience to Xano.
138660	144580	So like cursor, um, you know, like, uh, VS code, like any kind of IDE, we have
144580	148660	our file tree on the left-hand side and we can see with these green, uh, folders
148660	154220	here or files, I suppose, uh, we get to see what's added and here's the Xano
154220	159660	script and of course, this isn't always fun to see errors are never too fun to
159660	164220	see, but the really cool part about this is if it doesn't self correct, we can go
164220	167020	ahead and fix with the Xano agent here.
167540	171300	Now, another really cool part about this entire process is the ability to go
171300	173380	through the stack and see things visually.
173740	177140	And of course the campus to see how it's thinking, how it's building.
177460	181700	So all of these different kinds of, you know, visualizations
181700	182700	to understand your code.
183500	186300	Not only do we see it create, but we also see it update.
186300	188540	So these purple bits here, we'll see it update.
188540	191380	And the best way for especially middleware is to go into that Xano
191380	194620	script and see the middleware here updating.
195220	196380	Now it didn't self fix.
196380	198740	So let's just go ahead and fix it with this Xano agent.
198980	202740	Again, just another very powerful feature to ensure that your code is
202740	205980	going to work instead of just writing it and then trying to test it and it
205980	206500	erroring.
206540	211540	So, uh, we'll give it just a couple of moments and it fixed it and, um, it's
211540	215900	validating it now, uh, but we can see over here within our chat, it's just
215900	217100	telling us what it did.
217260	221620	So we're never really out of the loop, whether it's visual, whether it's text.
222140	225900	We just have the ability to, of course, stay on top of what it's producing.
226700	228260	So we'll review these changes.
228260	229660	We get this beautiful diff here.
229700	232300	We get to see the middleware being applied.
232580	236140	And of course, for any file, we'll see a big green chunk of
236140	237260	everything that is created.
238020	241980	Um, so it's going to have this precondition, making sure that the author
241980	243660	or that the user exists.
244060	246940	Um, and from there, it's going to go ahead and select the roles.
246980	249220	We're going to go ahead and, um, uh, let's see.
249220	253700	So it's saying that the user management, um, for admin only, let's say it's
253700	256460	going to be taking a look at the URL, uh, parameters.
256740	259700	So this is going to be, if it is, of course, coming from an external request,
259700	261100	so let's see how this works here.
261100	262620	We'll publish to our drafts.
262620	268220	And before we even begin real quick, our data, that's me as the provider, perfect.
268580	271220	And as a patient, we have Chris amazing.
271580	274220	We're going to go ahead now and head over to our APIs.
275020	278300	We're going to go ahead and, uh, let's go ahead and post a medical record.
278300	280700	So I'm going to select my auth token.
281100	285620	Chris's ID one, let's say is a visits and the content is healthy and cool.
285660	289420	So we'll go ahead and click run and we can see that it posted.
289700	292660	Uh, let's go ahead and activate this debugger and we can see that it's
292660	294660	actually going to go ahead and step through everything.
294660	298340	So, um, what it's going to do is it's going to check whether or not, of course,
298340	302660	we're an admin and, uh, then it's going to check if we're a provider and we are
302660	307100	a provider, so it automatically says, great, let's return that and create that record.
307620	310580	So we get to see our new record created here.
310580	314180	This variable is now returned in our response and in our debugger, we
314180	315740	have the ability to see this.
316380	321060	And so from beginning to end, at least with the Xano agent, it is very, very
321060	325260	simple and very, very effective at being able to do what you want.
325300	330140	So, um, and this is just, of course, the very first thing that we've done
330140	333620	with the Xano agent and in just a moment, I'll show you the CLI.
